Month,Work Type,Year," Weighted averages of Construction Producer Price Indices",month Int,Date,Geographical Region,Unique_Key
April,Repair and Maintenance,2019,114.3,04,01/04/2019,United Kingdom,AprilRepair and Maintenance2019114.30401/04/2019United Kingdom
April,Repair and Maintenance,2020,111.7,04,01/04/2020,United Kingdom,AprilRepair and Maintenance2020111.70401/04/2020United Kingdom
April,Repair and Maintenance,2021,122.4,04,01/04/2021,United Kingdom,AprilRepair and Maintenance2021122.40401/04/2021United Kingdom
May,Repair and Maintenance,2016,99.2,05,01/05/2016,United Kingdom,MayRepair and Maintenance201699.20501/05/2016United Kingdom
May,Repair and Maintenance,2017,105.4,05,01/05/2017,United Kingdom,MayRepair and Maintenance2017105.40501/05/2017United Kingdom
May,Repair and Maintenance,2018,110.6,05,01/05/2018,United Kingdom,MayRepair and Maintenance2018110.60501/05/2018United Kingdom
May,Repair and Maintenance,2019,114,05,01/05/2019,United Kingdom,MayRepair and Maintenance20191140501/05/2019United Kingdom
May,Repair and Maintenance,2020,112.2,05,01/05/2020,United Kingdom,MayRepair and Maintenance2020112.20501/05/2020United Kingdom
May,Repair and Maintenance,2021,124.6,05,01/05/2021,United Kingdom,MayRepair and Maintenance2021124.60501/05/2021United Kingdom
June,Repair and Maintenance,2016,99.8,06,01/06/2016,United Kingdom,JuneRepair and Maintenance201699.80601/06/2016United Kingdom
June,Repair and Maintenance,2017,105.4,06,01/06/2017,United Kingdom,JuneRepair and Maintenance2017105.40601/06/2017United Kingdom
June,Repair and Maintenance,2018,111.5,06,01/06/2018,United Kingdom,JuneRepair and Maintenance2018111.50601/06/2018United Kingdom
June,Repair and Maintenance,2019,114.2,06,01/06/2019,United Kingdom,JuneRepair and Maintenance2019114.20601/06/2019United Kingdom
June,Repair and Maintenance,2020,111.8,06,01/06/2020,United Kingdom,JuneRepair and Maintenance2020111.80601/06/2020United Kingdom
June,Repair and Maintenance,2021,129.2,06,01/06/2021,United Kingdom,JuneRepair and Maintenance2021129.20601/06/2021United Kingdom
July,Repair and Maintenance,2016,99.9,07,01/07/2016,United Kingdom,JulyRepair and Maintenance201699.90701/07/2016United Kingdom
July,Repair and Maintenance,2017,105.5,07,01/07/2017,United Kingdom,JulyRepair and Maintenance2017105.50701/07/2017United Kingdom
July,Repair and Maintenance,2018,112,07,01/07/2018,United Kingdom,JulyRepair and Maintenance20181120701/07/2018United Kingdom
July,Repair and Maintenance,2019,114,07,01/07/2019,United Kingdom,JulyRepair and Maintenance20191140701/07/2019United Kingdom
July,Repair and Maintenance,2020,112,07,01/07/2020,United Kingdom,JulyRepair and Maintenance20201120701/07/2020United Kingdom
July,Repair and Maintenance,2021,137.8,07,01/07/2021,United Kingdom,JulyRepair and Maintenance2021137.80701/07/2021United Kingdom
August,Repair and Maintenance,2016,100.6,08,01/08/2016,United Kingdom,AugustRepair and Maintenance2016100.60801/08/2016United Kingdom
August,Repair and Maintenance,2017,105.8,08,01/08/2017,United Kingdom,AugustRepair and Maintenance2017105.80801/08/2017United Kingdom
August,Repair and Maintenance,2018,112.3,08,01/08/2018,United Kingdom,AugustRepair and Maintenance2018112.30801/08/2018United Kingdom
August,Repair and Maintenance,2019,113.7,08,01/08/2019,United Kingdom,AugustRepair and Maintenance2019113.70801/08/2019United Kingdom
