Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,Year,Current Prices (£'000),Date,Geographical Region,Type,Unique_Key
" Semi-Manufactures",Laminated Wood,Imports,2019,356181,01/01/2019,United Kingdom,External Trade,Semi-ManufacturesLaminated WoodImports201935618101/01/2019United Kingdom
" Semi-Manufactures",Laminated Wood,Imports,2020,302791,01/01/2020,United Kingdom,External Trade,Semi-ManufacturesLaminated WoodImports202030279101/01/2020United Kingdom
" Semi-Manufactures",Laminated Wood,Exports,2015,10474,01/01/2015,United Kingdom,External Trade,Semi-ManufacturesLaminated WoodExports20151047401/01/2015United Kingdom
" Semi-Manufactures",Laminated Wood,Exports,2016,17098,01/01/2016,United Kingdom,External Trade,Semi-ManufacturesLaminated WoodExports20161709801/01/2016United Kingdom
" Semi-Manufactures",Laminated Wood,Exports,2017,21840,01/01/2017,United Kingdom,External Trade,Semi-ManufacturesLaminated WoodExports20172184001/01/2017United Kingdom
" Semi-Manufactures",Laminated Wood,Exports,2018,24447,01/01/2018,United Kingdom,External Trade,Semi-ManufacturesLaminated WoodExports20182444701/01/2018United Kingdom
" Semi-Manufactures",Laminated Wood,Exports,2019,27670,01/01/2019,United Kingdom,External Trade,Semi-ManufacturesLaminated WoodExports20192767001/01/2019United Kingdom
" Semi-Manufactures",Laminated Wood,Exports,2020,24709,01/01/2020,United Kingdom,External Trade,Semi-ManufacturesLaminated WoodExports20202470901/01/2020United Kingdom
" Semi-Manufactures",Fibreboard,Imports,2015,65275,01/01/2015,United Kingdom,External Trade,Semi-ManufacturesFibreboardImports20156527501/01/2015United Kingdom
" Semi-Manufactures",Fibreboard,Imports,2016,74385,01/01/2016,United Kingdom,External Trade,Semi-ManufacturesFibreboardImports20167438501/01/2016United Kingdom
" Semi-Manufactures",Fibreboard,Imports,2017,90128,01/01/2017,United Kingdom,External Trade,Semi-ManufacturesFibreboardImports20179012801/01/2017United Kingdom
" Semi-Manufactures",Fibreboard,Imports,2018,103904,01/01/2018,United Kingdom,External Trade,Semi-ManufacturesFibreboardImports201810390401/01/2018United Kingdom
" Semi-Manufactures",Fibreboard,Imports,2019,127511,01/01/2019,United Kingdom,External Trade,Semi-ManufacturesFibreboardImports201912751101/01/2019United Kingdom
" Semi-Manufactures",Fibreboard,Imports,2020,100821,01/01/2020,United Kingdom,External Trade,Semi-ManufacturesFibreboardImports202010082101/01/2020United Kingdom
" Semi-Manufactures",Fibreboard,Exports,2015,6261,01/01/2015,United Kingdom,External Trade,Semi-ManufacturesFibreboardExports2015626101/01/2015United Kingdom
" Semi-Manufactures",Fibreboard,Exports,2016,6954,01/01/2016,United Kingdom,External Trade,Semi-ManufacturesFibreboardExports2016695401/01/2016United Kingdom
" Semi-Manufactures",Fibreboard,Exports,2017,8230,01/01/2017,United Kingdom,External Trade,Semi-ManufacturesFibreboardExports2017823001/01/2017United Kingdom
" Semi-Manufactures",Fibreboard,Exports,2018,8883,01/01/2018,United Kingdom,External Trade,Semi-ManufacturesFibreboardExports2018888301/01/2018United Kingdom
" Semi-Manufactures",Fibreboard,Exports,2019,8380,01/01/2019,United Kingdom,External Trade,Semi-ManufacturesFibreboardExports2019838001/01/2019United Kingdom
" Semi-Manufactures",Fibreboard,Exports,2020,8727,01/01/2020,United Kingdom,External Trade,Semi-ManufacturesFibreboardExports2020872701/01/2020United Kingdom
" Semi-Manufactures",Steel for Fabrication,Imports,2015,313745,01/01/2015,United Kingdom,External Trade,Semi-ManufacturesSteel for FabricationImports201531374501/01/2015United Kingdom
" Semi-Manufactures",Steel for Fabrication,Imports,2016,312919,01/01/2016,United Kingdom,External Trade,Semi-ManufacturesSteel for FabricationImports201631291901/01/2016United Kingdom
