Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,Year,Current Prices (£'000),Date,Geographical Region,Type,Unique_Key
" Semi-Manufactures",Tar & Bituminous Mixtures,Imports,2015,18665,01/01/2015,United Kingdom,External Trade,
" Semi-Manufactures",Tar & Bituminous Mixtures,Imports,2016,22105,01/01/2016,United Kingdom,External Trade,
" Semi-Manufactures",Tar & Bituminous Mixtures,Imports,2017,19661,01/01/2017,United Kingdom,External Trade,
" Semi-Manufactures",Tar & Bituminous Mixtures,Imports,2018,34211,01/01/2018,United Kingdom,External Trade,
" Semi-Manufactures",Tar & Bituminous Mixtures,Imports,2019,30075,01/01/2019,United Kingdom,External Trade,
" Semi-Manufactures",Tar & Bituminous Mixtures,Imports,2020,18428,01/01/2020,United Kingdom,External Trade,
" Semi-Manufactures",Tar & Bituminous Mixtures,Exports,2015,17210,01/01/2015,United Kingdom,External Trade,
" Semi-Manufactures",Tar & Bituminous Mixtures,Exports,2016,22778,01/01/2016,United Kingdom,External Trade,
" Semi-Manufactures",Tar & Bituminous Mixtures,Exports,2017,20914,01/01/2017,United Kingdom,External Trade,
" Semi-Manufactures",Tar & Bituminous Mixtures,Exports,2018,25029,01/01/2018,United Kingdom,External Trade,
" Semi-Manufactures",Tar & Bituminous Mixtures,Exports,2019,24690,01/01/2019,United Kingdom,External Trade,
" Semi-Manufactures",Tar & Bituminous Mixtures,Exports,2020,18472,01/01/2020,United Kingdom,External Trade,
" Semi-Manufactures",Lime,Imports,2015,2026,01/01/2015,United Kingdom,External Trade,
" Semi-Manufactures",Lime,Imports,2016,1402,01/01/2016,United Kingdom,External Trade,
" Semi-Manufactures",Lime,Imports,2017,1992,01/01/2017,United Kingdom,External Trade,
" Semi-Manufactures",Lime,Imports,2018,1931,01/01/2018,United Kingdom,External Trade,
" Semi-Manufactures",Lime,Imports,2019,2141,01/01/2019,United Kingdom,External Trade,
" Semi-Manufactures",Lime,Imports,2020,1831,01/01/2020,United Kingdom,External Trade,
" Semi-Manufactures",Lime,Exports,2015,23847,01/01/2015,United Kingdom,External Trade,
" Semi-Manufactures",Lime,Exports,2016,24451,01/01/2016,United Kingdom,External Trade,
" Semi-Manufactures",Lime,Exports,2017,27403,01/01/2017,United Kingdom,External Trade,
" Semi-Manufactures",Lime,Exports,2018,22906,01/01/2018,United Kingdom,External Trade,
" Semi-Manufactures",Lime,Exports,2019,24514,01/01/2019,United Kingdom,External Trade,
" Semi-Manufactures",Lime,Exports,2020,19710,01/01/2020,United Kingdom,External Trade,
" Semi-Manufactures",Lime,,2015,2015,01/01/2015,United Kingdom,External Trade,
" Semi-Manufactures",Lime,,2016,2016,01/01/2016,United Kingdom,External Trade,
" Semi-Manufactures",Lime,,2017,2017,01/01/2017,United Kingdom,External Trade,
" Semi-Manufactures",Lime,,2018,2018,01/01/2018,United Kingdom,External Trade,
" Semi-Manufactures",Lime,,2019,2019,01/01/2019,United Kingdom,External Trade,
" Semi-Manufactures",Lime,,2020,2020,01/01/2020,United Kingdom,External Trade,
" Products & Components",Wood sleepers (rail & tram),Imports,2015,9920,01/01/2015,United Kingdom,External Trade,
" Products & Components",Wood sleepers (rail & tram),Imports,2016,11493,01/01/2016,United Kingdom,External Trade,
" Products & Components",Wood sleepers (rail & tram),Imports,2017,24023,01/01/2017,United Kingdom,External Trade,
" Products & Components",Wood sleepers (rail & tram),Imports,2018,27715,01/01/2018,United Kingdom,External Trade,
" Products & Components",Wood sleepers (rail & tram),Imports,2019,23639,01/01/2019,United Kingdom,External Trade,
" Products & Components",Wood sleepers (rail & tram),Imports,2020,34095,01/01/2020,United Kingdom,External Trade,
" Products & Components",Wood sleepers (rail & tram),Exports,2015,86,01/01/2015,United Kingdom,External Trade,
" Products & Components",Wood sleepers (rail & tram),Exports,2016,406,01/01/2016,United Kingdom,External Trade,
" Products & Components",Wood sleepers (rail & tram),Exports,2017,437,01/01/2017,United Kingdom,External Trade,
