Date,Production/Deliveries/Stocks,Concrete Block Type,Thousand square metres,Building Material Type,Geographical Region,Unique_Key
01/09/2020,Stocks,All Types,5228.731,Concrete Products,Great Britain,01/09/2020StocksAll Types5228.731Concrete ProductsGreat Britain
01/09/2020,Production,Dense,2141.843,Concrete Products,Great Britain,01/09/2020ProductionDense2141.843Concrete ProductsGreat Britain
01/09/2020,Deliveries(from),Dense,2162.767,Concrete Products,Great Britain,01/09/2020Deliveries(from)Dense2162.767Concrete ProductsGreat Britain
01/09/2020,Stocks,Dense,2147.679,Concrete Products,Great Britain,01/09/2020StocksDense2147.679Concrete ProductsGreat Britain
01/09/2020,Production,Lightweight,1778.172,Concrete Products,Great Britain,01/09/2020ProductionLightweight1778.172Concrete ProductsGreat Britain
01/09/2020,Deliveries(from),Lightweight,1746.295,Concrete Products,Great Britain,01/09/2020Deliveries(from)Lightweight1746.295Concrete ProductsGreat Britain
01/09/2020,Stocks,Lightweight,1421.092,Concrete Products,Great Britain,01/09/2020StocksLightweight1421.092Concrete ProductsGreat Britain
01/09/2020,Production,Aerated,2533.47,Concrete Products,Great Britain,01/09/2020ProductionAerated2533.47Concrete ProductsGreat Britain
01/09/2020,Deliveries(from),Aerated,2658.09,Concrete Products,Great Britain,01/09/2020Deliveries(from)Aerated2658.09Concrete ProductsGreat Britain
01/09/2020,Stocks,Aerated,1659.96,Concrete Products,Great Britain,01/09/2020StocksAerated1659.96Concrete ProductsGreat Britain
01/10/2020,Seasonally Adjusted Deliveries,All Types,5806.68197189973,Concrete Products,Great Britain,01/10/2020Seasonally Adjusted DeliveriesAll Types5806.68197189973Concrete ProductsGreat Britain
01/10/2020,Production,All Types,6438.248,Concrete Products,Great Britain,01/10/2020ProductionAll Types6438.248Concrete ProductsGreat Britain
01/10/2020,Deliveries(from),All Types,6328.508,Concrete Products,Great Britain,01/10/2020Deliveries(from)All Types6328.508Concrete ProductsGreat Britain
01/10/2020,Stocks,All Types,5338.471,Concrete Products,Great Britain,01/10/2020StocksAll Types5338.471Concrete ProductsGreat Britain
01/10/2020,Production,Dense,2141.589,Concrete Products,Great Britain,01/10/2020ProductionDense2141.589Concrete ProductsGreat Britain
01/10/2020,Deliveries(from),Dense,2054.225,Concrete Products,Great Britain,01/10/2020Deliveries(from)Dense2054.225Concrete ProductsGreat Britain
01/10/2020,Stocks,Dense,2235.043,Concrete Products,Great Britain,01/10/2020StocksDense2235.043Concrete ProductsGreat Britain
01/10/2020,Production,Lightweight,1753.269,Concrete Products,Great Britain,01/10/2020ProductionLightweight1753.269Concrete ProductsGreat Britain
01/10/2020,Deliveries(from),Lightweight,1673.213,Concrete Products,Great Britain,01/10/2020Deliveries(from)Lightweight1673.213Concrete ProductsGreat Britain
01/10/2020,Stocks,Lightweight,1501.148,Concrete Products,Great Britain,01/10/2020StocksLightweight1501.148Concrete ProductsGreat Britain
01/10/2020,Production,Aerated,2543.39,Concrete Products,Great Britain,01/10/2020ProductionAerated2543.39Concrete ProductsGreat Britain
01/10/2020,Deliveries(from),Aerated,2601.07,Concrete Products,Great Britain,01/10/2020Deliveries(from)Aerated2601.07Concrete ProductsGreat Britain
01/10/2020,Stocks,Aerated,1602.28,Concrete Products,Great Britain,01/10/2020StocksAerated1602.28Concrete ProductsGreat Britain
