Date,Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,Current Prices (£'000),Geographical Region,Type
01/01/2015," Products & Components",Wood sleepers (rail & tram),Imports,9920,United Kingdom,External Trade
01/01/2016," Products & Components",Wood sleepers (rail & tram),Imports,11493,United Kingdom,External Trade
01/01/2017," Products & Components",Wood sleepers (rail & tram),Imports,24023,United Kingdom,External Trade
01/01/2018," Products & Components",Wood sleepers (rail & tram),Imports,27715,United Kingdom,External Trade
01/01/2019," Products & Components",Wood sleepers (rail & tram),Imports,23639,United Kingdom,External Trade
01/01/2020," Products & Components",Wood sleepers (rail & tram),Imports,34095,United Kingdom,External Trade
01/01/2015," Products & Components",Wood sleepers (rail & tram),Exports,86,United Kingdom,External Trade
01/01/2016," Products & Components",Wood sleepers (rail & tram),Exports,406,United Kingdom,External Trade
01/01/2017," Products & Components",Wood sleepers (rail & tram),Exports,437,United Kingdom,External Trade
01/01/2018," Products & Components",Wood sleepers (rail & tram),Exports,564,United Kingdom,External Trade
01/01/2019," Products & Components",Wood sleepers (rail & tram),Exports,332,United Kingdom,External Trade
01/01/2020," Products & Components",Wood sleepers (rail & tram),Exports,1232,United Kingdom,External Trade
01/01/2015," Products & Components",Building Stone : processed,Imports,189561,United Kingdom,External Trade
01/01/2016," Products & Components",Building Stone : processed,Imports,202159,United Kingdom,External Trade
01/01/2017," Products & Components",Building Stone : processed,Imports,227589,United Kingdom,External Trade
01/01/2018," Products & Components",Building Stone : processed,Imports,214407,United Kingdom,External Trade
01/01/2019," Products & Components",Building Stone : processed,Imports,238954,United Kingdom,External Trade
01/01/2020," Products & Components",Building Stone : processed,Imports,189267,United Kingdom,External Trade
01/01/2015," Products & Components",Building Stone : processed,Exports,22639,United Kingdom,External Trade
01/01/2016," Products & Components",Building Stone : processed,Exports,8911,United Kingdom,External Trade
01/01/2017," Products & Components",Building Stone : processed,Exports,10738,United Kingdom,External Trade
01/01/2018," Products & Components",Building Stone : processed,Exports,10152,United Kingdom,External Trade
01/01/2019," Products & Components",Building Stone : processed,Exports,14148,United Kingdom,External Trade
01/01/2020," Products & Components",Building Stone : processed,Exports,12136,United Kingdom,External Trade
01/01/2015," Products & Components",Slate Roofing Tiles*,Imports,,United Kingdom,External Trade
01/01/2016," Products & Components",Slate Roofing Tiles*,Imports,,United Kingdom,External Trade
01/01/2017," Products & Components",Slate Roofing Tiles*,Imports,,United Kingdom,External Trade
01/01/2018," Products & Components",Slate Roofing Tiles*,Imports,,United Kingdom,External Trade
01/01/2019," Products & Components",Slate Roofing Tiles*,Imports,,United Kingdom,External Trade
01/01/2020," Products & Components",Slate Roofing Tiles*,Imports,,United Kingdom,External Trade
01/01/2015," Products & Components",Slate Roofing Tiles*,Exports,,United Kingdom,External Trade
01/01/2016," Products & Components",Slate Roofing Tiles*,Exports,,United Kingdom,External Trade
01/01/2017," Products & Components",Slate Roofing Tiles*,Exports,,United Kingdom,External Trade
01/01/2018," Products & Components",Slate Roofing Tiles*,Exports,,United Kingdom,External Trade
01/01/2019," Products & Components",Slate Roofing Tiles*,Exports,,United Kingdom,External Trade
01/01/2020," Products & Components",Slate Roofing Tiles*,Exports,,United Kingdom,External Trade
01/01/2015," Products & Components",Other Slate Products*,Imports,,United Kingdom,External Trade
01/01/2016," Products & Components",Other Slate Products*,Imports,,United Kingdom,External Trade
01/01/2017," Products & Components",Other Slate Products*,Imports,,United Kingdom,External Trade
01/01/2018," Products & Components",Other Slate Products*,Imports,,United Kingdom,External Trade
01/01/2019," Products & Components",Other Slate Products*,Imports,,United Kingdom,External Trade
01/01/2020," Products & Components",Other Slate Products*,Imports,,United Kingdom,External Trade
01/01/2015," Products & Components",Other Slate Products*,Exports,,United Kingdom,External Trade
01/01/2016," Products & Components",Other Slate Products*,Exports,,United Kingdom,External Trade
01/01/2017," Products & Components",Other Slate Products*,Exports,,United Kingdom,External Trade
01/01/2018," Products & Components",Other Slate Products*,Exports,,United Kingdom,External Trade
01/01/2019," Products & Components",Other Slate Products*,Exports,,United Kingdom,External Trade
01/01/2020," Products & Components",Other Slate Products*,Exports,,United Kingdom,External Trade
01/01/2015," Products & Components",Slate Products*,Imports,72171,United Kingdom,External Trade
01/01/2016," Products & Components",Slate Products*,Imports,82174,United Kingdom,External Trade
01/01/2017," Products & Components",Slate Products*,Imports,90155,United Kingdom,External Trade
01/01/2018," Products & Components",Slate Products*,Imports,98277,United Kingdom,External Trade
01/01/2019," Products & Components",Slate Products*,Imports,102115,United Kingdom,External Trade
01/01/2020," Products & Components",Slate Products*,Imports,100085,United Kingdom,External Trade
01/01/2015," Products & Components",Slate Products*,Exports,8189,United Kingdom,External Trade
01/01/2016," Products & Components",Slate Products*,Exports,8507,United Kingdom,External Trade
01/01/2017," Products & Components",Slate Products*,Exports,7531,United Kingdom,External Trade
01/01/2018," Products & Components",Slate Products*,Exports,7272,United Kingdom,External Trade
01/01/2019," Products & Components",Slate Products*,Exports,6472,United Kingdom,External Trade
01/01/2020," Products & Components",Slate Products*,Exports,5802,United Kingdom,External Trade
01/01/2015," Products & Components",Portland Cement,Imports,86241,United Kingdom,External Trade
01/01/2016," Products & Components",Portland Cement,Imports,101182,United Kingdom,External Trade
01/01/2017," Products & Components",Portland Cement,Imports,103551,United Kingdom,External Trade
01/01/2018," Products & Components",Portland Cement,Imports,103451,United Kingdom,External Trade
01/01/2019," Products & Components",Portland Cement,Imports,113464,United Kingdom,External Trade
