Date,Building Materials & Components Type," Materials & Components Sub-Type",Imports/Exports,Current Prices (Â£'000),Geographical Region,Type,Unique_Key
01/01/2020," Semi-Manufactures",Particle Board,Exports,8029,United Kingdom,External Trade,01/01/2020Semi-ManufacturesParticle BoardExports8029United KingdomExternal Trade
01/01/2015," Semi-Manufactures",Laminated Wood,Imports,148777,United Kingdom,External Trade,01/01/2015Semi-ManufacturesLaminated WoodImports148777United KingdomExternal Trade
01/01/2016," Semi-Manufactures",Laminated Wood,Imports,283492,United Kingdom,External Trade,01/01/2016Semi-ManufacturesLaminated WoodImports283492United KingdomExternal Trade
01/01/2017," Semi-Manufactures",Laminated Wood,Imports,359909,United Kingdom,External Trade,01/01/2017Semi-ManufacturesLaminated WoodImports359909United KingdomExternal Trade
01/01/2018," Semi-Manufactures",Laminated Wood,Imports,360362,United Kingdom,External Trade,01/01/2018Semi-ManufacturesLaminated WoodImports360362United KingdomExternal Trade
01/01/2019," Semi-Manufactures",Laminated Wood,Imports,356181,United Kingdom,External Trade,01/01/2019Semi-ManufacturesLaminated WoodImports356181United KingdomExternal Trade
01/01/2020," Semi-Manufactures",Laminated Wood,Imports,302791,United Kingdom,External Trade,01/01/2020Semi-ManufacturesLaminated WoodImports302791United KingdomExternal Trade
01/01/2015," Semi-Manufactures",Laminated Wood,Exports,10474,United Kingdom,External Trade,01/01/2015Semi-ManufacturesLaminated WoodExports10474United KingdomExternal Trade
01/01/2016," Semi-Manufactures",Laminated Wood,Exports,17098,United Kingdom,External Trade,01/01/2016Semi-ManufacturesLaminated WoodExports17098United KingdomExternal Trade
01/01/2017," Semi-Manufactures",Laminated Wood,Exports,21840,United Kingdom,External Trade,01/01/2017Semi-ManufacturesLaminated WoodExports21840United KingdomExternal Trade
01/01/2018," Semi-Manufactures",Laminated Wood,Exports,24447,United Kingdom,External Trade,01/01/2018Semi-ManufacturesLaminated WoodExports24447United KingdomExternal Trade
01/01/2019," Semi-Manufactures",Laminated Wood,Exports,27670,United Kingdom,External Trade,01/01/2019Semi-ManufacturesLaminated WoodExports27670United KingdomExternal Trade
01/01/2020," Semi-Manufactures",Laminated Wood,Exports,24709,United Kingdom,External Trade,01/01/2020Semi-ManufacturesLaminated WoodExports24709United KingdomExternal Trade
01/01/2015," Semi-Manufactures",Fibreboard,Imports,65275,United Kingdom,External Trade,01/01/2015Semi-ManufacturesFibreboardImports65275United KingdomExternal Trade
01/01/2016," Semi-Manufactures",Fibreboard,Imports,74385,United Kingdom,External Trade,01/01/2016Semi-ManufacturesFibreboardImports74385United KingdomExternal Trade
01/01/2017," Semi-Manufactures",Fibreboard,Imports,90128,United Kingdom,External Trade,01/01/2017Semi-ManufacturesFibreboardImports90128United KingdomExternal Trade
01/01/2018," Semi-Manufactures",Fibreboard,Imports,103904,United Kingdom,External Trade,01/01/2018Semi-ManufacturesFibreboardImports103904United KingdomExternal Trade
01/01/2019," Semi-Manufactures",Fibreboard,Imports,127511,United Kingdom,External Trade,01/01/2019Semi-ManufacturesFibreboardImports127511United KingdomExternal Trade
01/01/2020," Semi-Manufactures",Fibreboard,Imports,100821,United Kingdom,External Trade,01/01/2020Semi-ManufacturesFibreboardImports100821United KingdomExternal Trade
01/01/2015," Semi-Manufactures",Fibreboard,Exports,6261,United Kingdom,External Trade,01/01/2015Semi-ManufacturesFibreboardExports6261United KingdomExternal Trade
01/01/2016," Semi-Manufactures",Fibreboard,Exports,6954,United Kingdom,External Trade,01/01/2016Semi-ManufacturesFibreboardExports6954United KingdomExternal Trade
01/01/2017," Semi-Manufactures",Fibreboard,Exports,8230,United Kingdom,External Trade,01/01/2017Semi-ManufacturesFibreboardExports8230United KingdomExternal Trade
